,month,gender,years,edu_lvl,etnicity,main_source,total
24596,JAN,f,58.0,uni_completa,mestizo,2500.0,2500.0
24597,JAN,m,51.0,uni_trunca,amazonico,1400.0,1400.0
24598,JAN,f,52.0,uni_trunca,mestizo,60.0,200.0
24599,JAN,m,57.0,secundaria,mestizo,1157.0,1157.0
24600,JAN,m,58.0,secundaria,mestizo,1265.0,1265.0
24601,JAN,m,54.0,secundaria,mestizo,3250.0,3250.0
24602,JAN,f,42.0,secundaria,mestizo,950.0,950.0
24603,JAN,m,58.0,uni_completa,mestizo,3600.0,6600.0
24604,JAN,m,33.0,uni_trunca,mestizo,1300.0,1300.0
24605,JAN,f,40.0,maestria,mestizo,2500.0,2500.0
24606,JAN,m,47.0,secundaria,mestizo,3500.0,3500.0
24607,JAN,f,25.0,tecnica_trunca,mestizo,530.0,530.0
24608,JAN,f,35.0,secundaria,mestizo,1050.0,1050.0
24609,JAN,m,27.0,secundaria,mestizo,1949.0,1949.0
24610,JAN,m,42.0,secundaria,quechua,1390.0,1590.0
24611,JAN,f,20.0,secundaria,mestizo,570.0,570.0
24612,JAN,m,44.0,secundaria,quechua,1248.0,1248.0
24613,JAN,f,43.0,otro,mestizo,1039.0,1039.0
24614,JAN,f,24.0,uni_completa,mestizo,1500.0,1500.0
24615,JAN,m,23.0,uni_trunca,mestizo,1500.0,1500.0
24616,JAN,f,48.0,secundaria,quechua,560.0,560.0
24617,JAN,m,38.0,tecnica_trunca,mestizo,1300.0,1300.0
24618,JAN,f,31.0,secundaria,mestizo,300.0,300.0
24619,JAN,m,43.0,secundaria,quechua,2078.0,2078.0
24620,JAN,f,47.0,tecnica,quechua,433.0,433.0
24621,JAN,m,36.0,secundaria,mestizo,1299.0,1299.0
24622,JAN,m,26.0,tecnica,quechua,1450.0,1450.0
24623,JAN,m,27.0,tecnica,mestizo,2640.0,2640.0
24624,JAN,f,47.0,uni_completa,mestizo,2950.0,2950.0
24625,JAN,m,29.0,otro,mestizo,779.0,779.0
24626,JAN,m,28.0,otro,mestizo,1516.0,1516.0
24627,JAN,f,51.0,otro,quechua,700.0,700.0
24628,JAN,m,20.0,otro,otro,2250.0,2250.0
24629,JAN,m,49.0,otro,quechua,2130.0,2130.0
24630,JAN,f,39.0,secundaria,mestizo,1083.0,1083.0
24631,JAN,m,66.0,otro,otro,260.0,260.0
24632,JAN,m,63.0,otro,quechua,160.0,160.0
24633,JAN,f,20.0,tecnica,mestizo,900.0,900.0
24634,JAN,f,17.0,tecnica_trunca,mestizo,390.0,390.0
24635,JAN,f,28.0,tecnica,mestizo,1200.0,1200.0
24636,JAN,m,29.0,tecnica,mestizo,2800.0,3340.0
24637,JAN,f,66.0,otro,quechua,173.0,303.0
24638,JAN,f,29.0,secundaria,mestizo,480.0,480.0
24639,JAN,m,25.0,otro,mestizo,1732.0,1732.0
24640,JAN,m,63.0,otro,afroperuano,3000.0,3000.0
24641,JAN,m,46.0,tecnica_trunca,mestizo,2500.0,3100.0
24642,JAN,m,51.0,maestria,mestizo,2120.0,2220.0
24643,JAN,f,46.0,uni_completa,afroperuano,2600.0,2600.0
24644,JAN,f,22.0,tecnica,afroperuano,700.0,700.0
24645,JAN,m,43.0,uni_completa,mestizo,1800.0,2800.0
24646,JAN,m,39.0,tecnica_trunca,mestizo,404.0,404.0
24647,JAN,m,47.0,secundaria,afroperuano,1300.0,1300.0
24648,JAN,f,57.0,uni_completa,quechua,3500.0,3500.0
24649,JAN,f,37.0,otro,quechua,1083.0,1083.0
24650,JAN,f,47.0,secundaria,mestizo,1217.0,1217.0
24651,JAN,f,28.0,secundaria,mestizo,1250.0,1250.0
24652,JAN,m,57.0,otro,mestizo,3681.0,3681.0
24653,JAN,f,48.0,otro,otro,2050.0,2050.0
24654,JAN,m,29.0,secundaria,mestizo,2182.0,2182.0
24655,JAN,m,50.0,secundaria,quechua,3600.0,3600.0
24656,JAN,f,49.0,otro,mestizo,1050.0,1050.0
24657,JAN,m,31.0,uni_trunca,mestizo,3031.0,3031.0
24658,JAN,f,47.0,otro,quechua,1100.0,1100.0
24659,JAN,m,40.0,otro,quechua,1400.0,1400.0
24660,JAN,f,26.0,secundaria,otro,1299.0,1299.0
24661,JAN,f,43.0,otro,quechua,650.0,650.0
24662,JAN,f,38.0,secundaria,quechua,510.0,510.0
24663,JAN,f,40.0,secundaria,mestizo,1000.0,1000.0
24664,JAN,f,33.0,tecnica,mestizo,1300.0,1300.0
24665,JAN,f,61.0,secundaria,quechua,3600.0,3600.0
24666,JAN,m,60.0,otro,quechua,1200.0,1200.0
24667,JAN,m,38.0,secundaria,mestizo,1200.0,1200.0
