age,sex,education,ethnicity,month,main_src,total_src
47.0,f,secundaria,afroperuano,nov,1050.0,1050.0
28.0,m,secundaria,afroperuano,nov,1150.0,1150.0
25.0,f,tecnica_trunca,mestizo,nov,1126.0,1376.0
39.0,f,secundaria,mestizo,nov,1012.0,1012.0
21.0,m,secundaria,mestizo,nov,1200.0,1200.0
25.0,m,secundaria,mestizo,nov,4600.0,4600.0
26.0,f,tecnica,mestizo,nov,1833.0,1833.0
44.0,m,tecnica_trunca,mestizo,nov,700.0,700.0
49.0,f,otro,mestizo,nov,758.0,758.0
61.0,m,secundaria,mestizo,nov,1865.0,1865.0
68.0,m,secundaria,mestizo,nov,2100.0,2100.0
29.0,m,uni_completa,mestizo,nov,2200.0,2200.0
40.0,m,otro,mestizo,nov,1400.0,1400.0
55.0,f,otro,mestizo,nov,1460.0,1460.0
28.0,m,secundaria,mestizo,nov,2500.0,2500.0
35.0,m,otro,quechua,nov,1507.0,1507.0
52.0,m,tecnica,mestizo,nov,4860.0,4860.0
66.0,f,secundaria,mestizo,nov,1220.0,1220.0
43.0,f,tecnica,mestizo,nov,1083.0,1083.0
43.0,m,secundaria,mestizo,nov,1165.0,1165.0
39.0,f,secundaria,mestizo,nov,167.0,167.0
45.0,m,secundaria,mestizo,nov,2165.0,2165.0
44.0,f,tecnica,mestizo,nov,600.0,600.0
47.0,m,uni_completa,blanco,nov,7000.0,7000.0
32.0,f,uni_completa,mestizo,nov,2347.0,2347.0
64.0,m,otro,mestizo,nov,1200.0,1200.0
66.0,m,secundaria,mestizo,nov,1418.0,1418.0
30.0,f,uni_completa,mestizo,nov,2500.0,2500.0
32.0,m,uni_trunca,mestizo,nov,1300.0,1800.0
52.0,m,uni_trunca,afroperuano,nov,4400.0,4400.0
19.0,f,secundaria,mestizo,nov,560.0,560.0
22.0,f,tecnica_trunca,mestizo,nov,624.0,1924.0
64.0,f,uni_completa,mestizo,nov,660.0,660.0
47.0,m,uni_completa,mestizo,nov,2500.0,2500.0
44.0,m,tecnica,mestizo,nov,5040.0,5040.0
45.0,f,uni_completa,mestizo,nov,2800.0,2800.0
48.0,f,uni_completa,mestizo,nov,1000.0,1000.0
50.0,m,uni_trunca,otro,nov,1050.0,1050.0
48.0,m,secundaria,afroperuano,nov,1300.0,1800.0
44.0,f,secundaria,mestizo,nov,1810.0,1810.0
23.0,f,tecnica,mestizo,nov,1025.0,1025.0
48.0,m,tecnica,mestizo,nov,1800.0,1800.0
37.0,m,secundaria,mestizo,nov,2520.0,2520.0
32.0,f,otro,mestizo,nov,620.0,620.0
48.0,m,uni_completa,mestizo,nov,10000.0,10000.0
44.0,f,uni_completa,mestizo,nov,1300.0,1300.0
71.0,m,uni_completa,mestizo,nov,400.0,400.0
36.0,m,tecnica,afroperuano,nov,950.0,950.0
33.0,f,uni_completa,blanco,nov,1800.0,1800.0
31.0,m,uni_completa,mestizo,nov,3600.0,3600.0
28.0,f,uni_completa,mestizo,nov,4500.0,4500.0
51.0,m,otro,mestizo,nov,1083.0,1233.0
32.0,f,otro,mestizo,nov,286.0,286.0
75.0,m,otro,afroperuano,nov,2019.0,2019.0
28.0,m,secundaria,mestizo,nov,2000.0,2000.0
27.0,m,secundaria,mestizo,nov,1194.0,1554.0
68.0,m,secundaria,mestizo,nov,200.0,710.0
32.0,f,uni_trunca,mestizo,nov,1200.0,1200.0
64.0,m,uni_completa,mestizo,nov,3000.0,3000.0
40.0,f,uni_completa,mestizo,nov,1650.0,1650.0
48.0,m,tecnica_trunca,mestizo,nov,4312.0,4312.0
72.0,m,secundaria,mestizo,nov,823.0,823.0
53.0,f,secundaria,mestizo,nov,1533.0,1533.0
36.0,f,secundaria,mestizo,nov,1500.0,1500.0
37.0,m,secundaria,otro,nov,1559.0,1559.0
28.0,f,uni_trunca,mestizo,nov,2200.0,2200.0
47.0,f,secundaria,quechua,nov,3000.0,3000.0
69.0,m,uni_completa,mestizo,nov,1800.0,1800.0
33.0,m,uni_completa,mestizo,nov,4000.0,4000.0
24.0,f,uni_completa,mestizo,nov,3000.0,3000.0
46.0,f,uni_completa,quechua,nov,2390.0,2446.0
42.0,m,secundaria,quechua,nov,2035.0,2035.0
19.0,m,secundaria,mestizo,nov,1510.0,1510.0
49.0,f,secundaria,mestizo,nov,200.0,200.0
71.0,f,secundaria,mestizo,nov,100.0,100.0
