month,sex,age,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,education,ethnicity,main_src,total_src
feb,m,60,,,,,, ,,,1950,1950
feb,f,47,,,,,, ,,,2150,2150
feb,m,51,,,,,, ,,,1949,1949
feb,m,62,,,,,, ,,,2543,2543
feb,m,33,,,,,, ,,,1943,1943
feb,f,43,,,,,, ,,,1928,1928
feb,f,40,,,,,, ,,,1900,1900
feb,m,30,,,,,, ,,,1900,1900
feb,m,56,,,,,, ,,,1866,1866
feb,m,57,,,,,, ,,,1865,1865
feb,m,32,,,,,, ,,,1850,2850
feb,m,42,,,,,, ,,,1860,1860
feb,f,35,,,,,, ,,,2021,2021
feb,m,34,,,,,, ,,,1800,1800
feb,m,38,,,,,, ,,,1800,1800
feb,m,44,,,,,, ,,,1800,1800
feb,m,54,,,,,, ,,,1800,1800
feb,m,58,,,,,, ,,,1779,1779
feb,m,50,,,,,, ,,,1770,1770
feb,f,42,,,,,, ,,,1765,1765
feb,m,49,,,,,, ,,,1765,1765
feb,m,25,,,,,, ,,,1760,1760
feb,f,30,,,,,, ,,,1760,1760
feb,m,72,,,,,, ,,,1758,1758
feb,f,38,,,,,, ,,,1732,1732
feb,m,41,,,,,, ,,,1732,1732
feb,m,46,,,,,, ,,,1721,1721
feb,m,43,,,,,, ,,,1712,1712
feb,m,55,,,,,, ,,,1710,1710
feb,m,46,,,,,, ,,,1700,1700
feb,m,53,,,,,, ,,,1700,1700
feb,f,35,,,,,, ,,,1700,1700
feb,m,44,,,,,, ,,,1700,1700
feb,m,42,,,,,, ,,,1700,1700
feb,m,30,,,,,, ,,,1690,1690
feb,m,67,,,,,, ,,,1687,1687
feb,m,42,,,,,, ,,,1680,1680
feb,m,57,,,,,, ,,,1680,1680
feb,m,64,,,,,, ,,,1671,3471
feb,f,32,,,,,, ,,,1700,1700
feb,m,43,,,,,, ,,,1650,1650
feb,m,28,,,,,, ,,,1650,1650
feb,m,24,,,,,, ,,,1641,1641
feb,f,44,,,,,, ,,,1640,1740
feb,m,49,,,,,, ,,,1640,4557
feb,f,28,,,,,, ,,,1631,1631
feb,m,58,,,,,, ,,,1604,1604
feb,m,33,,,,,, ,,,1600,1800
feb,m,49,,,,,, ,,,1600,2600
feb,m,38,,,,,, ,,,1600,1600
feb,f,26,,,,,, ,,,1600,1600
feb,m,33,,,,,, ,,,1600,1600
feb,m,39,,,,,, ,,,1600,1600
feb,f,46,,,,,, ,,,1950,1950
feb,m,68,,,,,, ,,,1600,1600
feb,m,39,,,,,, ,,,1647,1647
