month,gender,years,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,edu_lvl,etnicity,1st_source,total
FEB,m,33,,,,,, ,,,1943,1943
FEB,f,43,,,,,, ,,,1928,1928
FEB,f,40,,,,,, ,,,1900,1900
FEB,m,30,,,,,, ,,,1900,1900
FEB,m,56,,,,,, ,,,1866,1866
FEB,m,57,,,,,, ,,,1865,1865
FEB,m,32,,,,,, ,,,1850,2850
FEB,m,42,,,,,, ,,,1860,1860
FEB,f,35,,,,,, ,,,2021,2021
FEB,m,34,,,,,, ,,,1800,1800
FEB,m,38,,,,,, ,,,1800,1800
FEB,m,44,,,,,, ,,,1800,1800
FEB,m,54,,,,,, ,,,1800,1800
FEB,m,58,,,,,, ,,,1779,1779
FEB,m,50,,,,,, ,,,1770,1770
FEB,f,42,,,,,, ,,,1765,1765
FEB,m,49,,,,,, ,,,1765,1765
FEB,m,25,,,,,, ,,,1760,1760
FEB,f,30,,,,,, ,,,1760,1760
FEB,m,72,,,,,, ,,,1758,1758
FEB,f,38,,,,,, ,,,1732,1732
FEB,m,41,,,,,, ,,,1732,1732
FEB,m,46,,,,,, ,,,1721,1721
FEB,m,43,,,,,, ,,,1712,1712
FEB,m,55,,,,,, ,,,1710,1710
FEB,m,46,,,,,, ,,,1700,1700
FEB,m,53,,,,,, ,,,1700,1700
FEB,f,35,,,,,, ,,,1700,1700
FEB,m,44,,,,,, ,,,1700,1700
FEB,m,42,,,,,, ,,,1700,1700
FEB,m,30,,,,,, ,,,1690,1690
FEB,m,67,,,,,, ,,,1687,1687
FEB,m,42,,,,,, ,,,1680,1680
FEB,m,57,,,,,, ,,,1680,1680
FEB,m,64,,,,,, ,,,1671,3471
FEB,f,32,,,,,, ,,,1700,1700
FEB,m,43,,,,,, ,,,1650,1650
FEB,m,28,,,,,, ,,,1650,1650
FEB,m,24,,,,,, ,,,1641,1641
FEB,f,44,,,,,, ,,,1640,1740
FEB,m,49,,,,,, ,,,1640,4557
FEB,f,28,,,,,, ,,,1631,1631
FEB,m,58,,,,,, ,,,1604,1604
FEB,m,33,,,,,, ,,,1600,1800
FEB,m,49,,,,,, ,,,1600,2600
FEB,m,38,,,,,, ,,,1600,1600
FEB,f,26,,,,,, ,,,1600,1600
FEB,m,33,,,,,, ,,,1600,1600
FEB,m,39,,,,,, ,,,1600,1600
FEB,f,46,,,,,, ,,,1950,1950
FEB,m,68,,,,,, ,,,1600,1600
FEB,m,39,,,,,, ,,,1647,1647
FEB,m,24,,,,,, ,,,1582,1582
FEB,m,30,,,,,, ,,,1582,1582
FEB,f,22,,,,,, ,,,1683,1683
FEB,m,50,,,,,, ,,,1578,1578
FEB,m,47,,,,,, ,,,1570,1570
FEB,m,28,,,,,, ,,,1565,1565
FEB,m,54,,,,,, ,,,1805,1805
FEB,m,55,,,,,, ,,,1562,1562
FEB,m,65,,,,,, ,,,1560,1560
FEB,m,35,,,,,, ,,,1560,1560
FEB,m,50,,,,,, ,,,1539,1539
FEB,f,52,,,,,, ,,,1517,1517
FEB,m,44,,,,,, ,,,1516,1516
FEB,m,49,,,,,, ,,,1515,1515
FEB,f,31,,,,,, ,,,1581,1581
FEB,m,19,,,,,, ,,,1500,1500
FEB,m,27,,,,,, ,,,1500,1500
FEB,f,58,,,,,, ,,,1500,1500
FEB,f,46,,,,,, ,,,1500,1500
FEB,m,33,,,,,, ,,,1500,1500
FEB,f,51,,,,,, ,,,1500,1500
FEB,f,53,,,,,, ,,,1500,1500
FEB,m,54,,,,,, ,,,1500,1500
FEB,m,51,,,,,, ,,,1500,1500
FEB,m,50,,,,,, ,,,1500,1500
FEB,m,69,,,,,, ,,,1500,1500
FEB,m,38,,,,,, ,,,1500,1500
FEB,m,26,,,,,, ,,,1500,1500
FEB,m,45,,,,,, ,,,1500,1500
FEB,f,51,,,,,, ,,,1530,1530
FEB,m,38,,,,,, ,,,1500,1500
FEB,m,43,,,,,, ,,,1500,1500
FEB,m,60,,,,,, ,,,1500,1500
FEB,m,52,,,,,, ,,,1500,1500
FEB,m,58,,,,,, ,,,1500,1500
FEB,m,39,,,,,, ,,,1500,1500
FEB,m,46,,,,,, ,,,1500,1500
FEB,m,63,,,,,, ,,,1500,1500
FEB,m,55,,,,,, ,,,1500,1500
FEB,m,46,,,,,, ,,,1500,1500
FEB,m,47,,,,,, ,,,1500,1500
FEB,m,36,,,,,, ,,,1488,1488
FEB,m,40,,,,,, ,,,1500,1500
FEB,m,60,,,,,, ,,,1472,1472
FEB,m,55,,,,,, ,,,1465,1465
FEB,m,62,,,,,, ,,,1461,1461
FEB,f,64,,,,,, ,,,1752,1752
FEB,f,54,,,,,, ,,,1551,1551
FEB,m,27,,,,,, ,,,1450,1450
FEB,m,51,,,,,, ,,,1450,1450
FEB,f,65,,,,,, ,,,1450,1450
FEB,m,47,,,,,, ,,,1450,1450
FEB,f,41,,,,,, ,,,1450,1450
FEB,m,49,,,,,, ,,,1432,1432
FEB,f,40,,,,,, ,,,1580,1580
FEB,m,50,,,,,, ,,,1430,1430
FEB,f,39,,,,,, ,,,1402,1402
FEB,m,67,,,,,, ,,,1400,1400
FEB,f,57,,,,,, ,,,2000,2000
FEB,f,49,,,,,, ,,,1400,1400
FEB,m,47,,,,,, ,,,1553,1723
FEB,m,48,,,,,, ,,,1380,1380
FEB,f,61,,,,,, ,,,1730,1730
FEB,f,53,,,,,, ,,,1420,1420
FEB,f,30,,,,,, ,,,1609,1609
FEB,m,26,,,,,, ,,,1565,1565
FEB,f,62,,,,,, ,,,1485,1485
FEB,m,60,,,,,, ,,,1358,1358
FEB,m,51,,,,,, ,,,1358,1358
FEB,m,39,,,,,, ,,,1350,1350
FEB,m,58,,,,,, ,,,1350,1350
FEB,m,43,,,,,, ,,,1319,1319
FEB,f,54,,,,,, ,,,1337,1337
FEB,m,36,,,,,, ,,,1316,1316
FEB,m,64,,,,,, ,,,1316,1316
FEB,f,54,,,,,, ,,,1450,1450
FEB,f,35,,,,,, ,,,1900,1900
FEB,f,62,,,,,, ,,,1540,1540
FEB,f,48,,,,,, ,,,1716,1716
FEB,f,47,,,,,, ,,,1300,1300
FEB,m,45,,,,,, ,,,1300,1300
FEB,m,42,,,,,, ,,,1300,1300
FEB,m,41,,,,,, ,,,1716,1716
FEB,m,49,,,,,, ,,,1299,1299
FEB,m,53,,,,,, ,,,1299,1299
FEB,f,43,,,,,, ,,,1299,1299
FEB,f,38,,,,,, ,,,1595,1595
FEB,f,40,,,,,, ,,,1290,1290
FEB,f,25,,,,,, ,,,1279,1279
FEB,m,38,,,,,, ,,,1270,1270
FEB,f,20,,,,,, ,,,1350,1350
FEB,f,34,,,,,, ,,,1256,1256
FEB,f,45,,,,,, ,,,1850,2010
FEB,f,40,,,,,, ,,,1250,1350
FEB,m,35,,,,,, ,,,1239,1239
FEB,m,37,,,,,, ,,,1234,1234
FEB,m,37,,,,,, ,,,1219,1219
FEB,m,49,,,,,, ,,,1218,1218
FEB,f,47,,,,,, ,,,1234,1234
FEB,f,30,,,,,, ,,,1200,1200
FEB,m,28,,,,,, ,,,1200,1200
FEB,f,30,,,,,, ,,,1200,1200
FEB,f,76,,,,,, ,,,1200,1200
FEB,f,30,,,,,, ,,,1320,1320
FEB,m,56,,,,,, ,,,1200,1200
FEB,m,74,,,,,, ,,,1200,1200
FEB,m,24,,,,,, ,,,1200,1200
FEB,m,61,,,,,, ,,,1200,1200
FEB,f,57,,,,,, ,,,1200,1200
FEB,m,49,,,,,, ,,,1200,1200
FEB,m,55,,,,,, ,,,2200,2200
FEB,m,40,,,,,, ,,,1200,1200
FEB,f,67,,,,,, ,,,1649,1949
FEB,f,35,,,,,, ,,,1277,1277
FEB,m,25,,,,,, ,,,1199,1199
FEB,m,73,,,,,, ,,,1501,1501
FEB,f,38,,,,,, ,,,1286,1286
FEB,m,22,,,,,, ,,,1195,1195
FEB,m,24,,,,,, ,,,1190,1190
FEB,m,53,,,,,, ,,,1185,1435
FEB,f,38,,,,,, ,,,1200,1200
FEB,m,21,,,,,, ,,,1220,1220
FEB,m,30,,,,,, ,,,1167,1167
FEB,m,68,,,,,, ,,,1166,1166
FEB,f,61,,,,,, ,,,1465,1465
FEB,f,28,,,,,, ,,,1160,1160
FEB,f,56,,,,,, ,,,1150,1150
FEB,m,37,,,,,, ,,,1150,1150
FEB,m,35,,,,,, ,,,1150,1150
FEB,m,44,,,,,, ,,,1149,1149
FEB,f,24,,,,,, ,,,1187,1187
FEB,f,58,,,,,, ,,,1248,1248
FEB,m,56,,,,,, ,,,1732,1732
